                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     93,                0.66609,                 1.0689,                0.42669,                 1.0572,                0.99175,                0.96342,                0.98904,                0.90224,                0.99175,                0.96342,                0.98904,                0.89204,                0.60081,                0.88063,                0.49832,                 1.0475,              0.0009161,              0.0009161,              0.0009161
                     94,                0.63879,                 1.0572,                0.42447,                 1.0424,                0.99189,                0.97622,                0.98945,                0.92347,                0.99189,                0.97622,                0.98945,                0.89074,                0.56625,                0.91657,                0.47317,                 1.0334,             0.00090785,             0.00090785,             0.00090785
                     95,                0.66751,                 1.0812,                0.42377,                 1.0403,                0.98635,                0.98236,                0.98965,                0.88035,                0.98635,                0.98236,                0.98965,                0.87573,                 0.5651,                0.89485,                0.44544,                 1.0677,              0.0008996,              0.0008996,              0.0008996
                     96,                0.63823,                  1.043,                0.41279,                 1.0333,                0.99097,                0.99037,                0.99034,                0.88873,                0.99097,                0.99037,                0.99034,                0.88222,                 0.5727,                0.91312,                0.45196,                 1.0799,             0.00089134,             0.00089134,             0.00089134
                     97,                0.66377,                 1.1007,                0.44564,                 1.0476,                0.97223,                 0.9835,                0.99016,                0.88246,                0.97223,                 0.9835,                0.99016,                0.87316,                0.58591,                0.89313,                0.46871,                 1.0788,             0.00088309,             0.00088309,             0.00088309
                     98,                0.66686,                 1.0616,                0.44298,                 1.0535,                0.95079,                 0.9504,                0.96589,                0.85526,                0.95079,                 0.9504,                0.96589,                 0.8537,                0.58381,                0.82673,                0.50679,                 1.0741,             0.00087484,             0.00087484,             0.00087484
                     99,                0.65631,                 1.0453,                0.42802,                 1.0258,                0.96195,                 0.9504,                0.98632,                0.88278,                0.96195,                 0.9504,                0.98632,                0.87932,                 0.5421,                0.82453,                0.49104,                 1.0428,             0.00086659,             0.00086659,             0.00086659
                    100,                0.66829,                 1.0652,                0.43391,                 1.0561,                0.97861,                0.98631,                0.99032,                0.89353,                0.97861,                0.98631,                0.99032,                0.87866,                0.54811,                0.90754,                0.45027,                 1.0527,             0.00085834,             0.00085834,             0.00085834
                    101,                 0.6643,                 1.0612,                0.44022,                 1.0545,                0.98011,                0.99206,                 0.9903,                0.88852,                0.98011,                0.99206,                 0.9903,                0.88468,                0.59741,                0.95087,                0.44306,                  1.094,             0.00085009,             0.00085009,             0.00085009
                    102,                0.67512,                 1.0696,                0.44028,                 1.0763,                0.97058,                0.98174,                0.98926,                0.89332,                0.97058,                0.98174,                0.98926,                0.87726,                0.57502,                 0.9214,                0.43884,                 1.0726,             0.00084184,             0.00084184,             0.00084184
                    103,                0.65021,                 1.0259,                0.43275,                  1.039,                0.98168,                0.98812,                0.98976,                  0.883,                0.98168,                0.98812,                0.98976,                0.87617,                0.62473,                0.92338,                0.44089,                 1.1058,             0.00083358,             0.00083358,             0.00083358
                    104,                0.66748,                 1.0638,                  0.436,                 1.0479,                 0.9839,                0.98508,                0.98999,                0.89335,                 0.9839,                0.98508,                0.98999,                0.88322,                0.64232,                0.91504,                  0.463,                 1.1154,             0.00082533,             0.00082533,             0.00082533
