                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     53,                0.65272,                0.95973,                0.36757,                0.91433,                0.95521,                0.98372,                0.98661,                0.84353,                 0.9614,                0.97452,                0.98453,                0.78025,                0.81866,                 1.4239,                0.38537,                0.98775,              0.0012379,              0.0012379,              0.0012379
                     54,                0.66006,                 0.9715,                0.37394,                0.91255,                0.94103,                0.98094,                0.98378,                0.83983,                0.94103,                0.98094,                0.98406,                0.77933,                0.85408,                   1.43,                0.39287,                0.99297,              0.0012297,              0.0012297,              0.0012297
                     55,                0.67017,                 1.0058,                0.37564,                0.91046,                0.96342,                0.96777,                0.98135,                0.85227,                0.96486,                0.96919,                0.98384,                0.78609,                0.83627,                 1.3928,                0.39252,                0.99308,              0.0012214,              0.0012214,              0.0012214
                     56,                0.63804,                0.93696,                  0.364,                0.90506,                 0.9566,                0.96935,                0.97957,                0.82727,                0.95903,                0.97171,                0.98559,                0.76303,                 0.8919,                 1.5276,                0.40375,                 1.0227,              0.0012132,              0.0012132,              0.0012132
                     57,                0.65438,                0.96849,                0.37023,                 0.9087,                0.97542,                0.97316,                0.98543,                0.84287,                0.97903,                 0.9767,                0.99002,                 0.7827,                0.86565,                 1.3417,                0.38877,                0.99924,              0.0012049,              0.0012049,              0.0012049
                     58,                0.64291,                0.96302,                0.36465,                0.90116,                0.95955,                0.97877,                0.98579,                0.85623,                0.95884,                0.97806,                0.98729,                0.79632,                0.80908,                 1.3761,                0.37429,                0.99266,              0.0011967,              0.0011967,              0.0011967
                     59,                0.64343,                0.95052,                0.35677,                0.89943,                0.95281,                0.97593,                 0.9834,                0.84933,                0.95301,                0.97635,                0.98333,                0.79001,                0.83446,                 1.3041,                0.38342,                0.98969,              0.0011884,              0.0011884,              0.0011884
                     60,                0.63429,                0.94054,                0.35612,                0.90432,                0.97628,                0.97232,                0.98345,                 0.8597,                0.97771,                0.97681,                0.98831,                0.79979,                0.81659,                 1.3477,                0.37363,                0.99599,              0.0011802,              0.0011802,              0.0011802
                     61,                0.62781,                0.91806,                  0.355,                 0.8978,                0.96627,                0.97692,                0.98632,                0.84912,                0.96973,                0.98151,                 0.9892,                0.79586,                0.84608,                 1.3695,                0.37439,                0.99082,              0.0011719,              0.0011719,              0.0011719
                     62,                0.64533,                0.96026,                0.36082,                  0.912,                0.96692,                0.98585,                0.98773,                0.85988,                0.96832,                0.98726,                0.98888,                0.78831,                0.82548,                 1.3908,                 0.3682,                0.99253,              0.0011636,              0.0011636,              0.0011636
                     63,                0.64766,                0.96821,                0.36235,                0.91297,                0.97539,                0.97877,                0.98668,                0.85481,                0.97695,                0.98114,                0.99081,                0.78912,                0.83006,                 1.3516,                0.37062,                0.99032,              0.0011554,              0.0011554,              0.0011554
                     64,                0.62411,                 0.9397,                0.35683,                0.90068,                0.97533,                0.98272,                0.98498,                0.84461,                0.97266,                0.97964,                0.98668,                0.78957,                0.83453,                 1.4374,                0.37813,                0.99501,              0.0011471,              0.0011471,              0.0011471
                     65,                0.61565,                0.90893,                0.34816,                0.89774,                0.96569,                0.98372,                0.98661,                0.84522,                0.96639,                0.98443,                0.98895,                  0.796,                0.86497,                 1.3893,                0.36923,                 1.0052,              0.0011389,              0.0011389,              0.0011389
                     66,                0.61089,                0.90588,                0.33814,                0.89209,                0.97234,                0.97036,                0.98741,                0.86276,                0.97307,                0.97107,                0.98822,                0.80755,                0.81337,                 1.3746,                 0.3556,                0.98785,              0.0011306,              0.0011306,              0.0011306
                     67,                0.62317,                0.95606,                0.35758,                0.90374,                0.97442,                0.98018,                  0.987,                0.85915,                0.97402,                0.98081,                0.98756,                0.79418,                0.81708,                 1.4052,                0.36725,                 0.9933,              0.0011224,              0.0011224,              0.0011224
                     68,                0.62859,                0.93367,                0.35496,                 0.9056,                0.96801,                0.97877,                0.98514,                0.86436,                0.96854,                0.98094,                0.98749,                0.79851,                0.80588,                 1.3592,                0.36053,                 0.9903,              0.0011141,              0.0011141,              0.0011141
